state_id,failure_category,current_method,amount_minor,no_action_probability,NO_ACTION_action,NO_ACTION_recovery_probability,NO_ACTION_merchant_value_minor,BLANKET_NUDGE_action,BLANKET_NUDGE_recovery_probability,BLANKET_NUDGE_merchant_value_minor,RULE_BASED_action,RULE_BASED_recovery_probability,RULE_BASED_merchant_value_minor,S_LEARNER_RECOVERY_MAX_action,S_LEARNER_RECOVERY_MAX_recovery_probability,S_LEARNER_RECOVERY_MAX_merchant_value_minor,ECONOMIC_GOVERNOR_action,ECONOMIC_GOVERNOR_recovery_probability,ECONOMIC_GOVERNOR_merchant_value_minor,ECONOMIC_ORACLE_action,ECONOMIC_ORACLE_recovery_probability,ECONOMIC_ORACLE_merchant_value_minor
1,ISSUER_DECLINED,UPI,76491,0.48,NO_ACTION,0.48,12850.488,NO_ACTION,0.48,12850.488,NO_ACTION,0.48,12850.488,OFFER_5,0.48,11014.704,NO_ACTION,0.48,12850.488,SWITCH_DEBIT_CARD,0.52,13871.362
2,TECHNICAL_FAILURE,UPI,145131,0.8,NO_ACTION,0.8,40636.68,NO_ACTION,0.8,40636.68,SWITCH_DEBIT_CARD,0.8,40586.68,NO_ACTION,0.8,40636.68,NO_ACTION,0.8,40636.68,NO_ACTION,0.8,40636.68
3,USER_CANCELLED,DEBIT_CARD,138217,0.64,NO_ACTION,0.64,30960.608,NO_ACTION,0.64,30960.608,NO_ACTION,0.64,30960.608,OFFER_5,0.66,27366.966,NO_ACTION,0.64,30960.608,NO_ACTION,0.64,30960.608
4,INSUFFICIENT_FUNDS,UPI,149272,0.34,NO_ACTION,0.34,17763.368,NUDGE,0.42,21742.983999999997,SWITCH_DEBIT_CARD,0.4,20848.08,SWITCH_DEBIT_CARD,0.4,20848.08,SWITCH_DEBIT_CARD,0.4,20848.08,NUDGE,0.42,21742.983999999997
5,AUTHENTICATION_FAILURE,UPI,241708,0.76,NO_ACTION,0.76,64294.327999999994,NO_ACTION,0.76,64294.327999999994,NO_ACTION,0.76,64294.327999999994,SWITCH_DEBIT_CARD,0.82,69320.19599999998,SWITCH_DEBIT_CARD,0.82,69320.19599999998,SWITCH_DEBIT_CARD,0.82,69320.19599999998
6,AUTHENTICATION_FAILURE,CREDIT_CARD,94518,0.62,NO_ACTION,0.62,20510.405999999995,NUDGE,0.56,18325.528,NO_ACTION,0.62,20510.405999999995,OFFER_5,0.62,17580.347999999994,NO_ACTION,0.62,20510.405999999995,NO_ACTION,0.62,20510.405999999995
7,USER_CANCELLED,UPI,147600,0.7,NO_ACTION,0.7,36162.0,NO_ACTION,0.7,36162.0,NO_ACTION,0.7,36162.0,NO_ACTION,0.7,36162.0,NO_ACTION,0.7,36162.0,SWITCH_CREDIT_CARD,0.72,37145.2
8,USER_CANCELLED,UPI,129736,0.64,NO_ACTION,0.64,29060.864,NO_ACTION,0.64,29060.864,NO_ACTION,0.64,29060.864,NO_ACTION,0.64,29060.864,NO_ACTION,0.64,29060.864,NO_ACTION,0.64,29060.864
9,AUTHENTICATION_FAILURE,UPI,119194,0.62,NO_ACTION,0.62,25865.097999999994,NUDGE,0.68,28168.172,NO_ACTION,0.62,25865.097999999994,NUDGE,0.68,28168.172,NUDGE,0.68,28168.172,NUDGE,0.68,28168.172
10,ISSUER_DECLINED,DEBIT_CARD,164706,0.54,NO_ACTION,0.54,31129.434,NO_ACTION,0.54,31129.434,NO_ACTION,0.54,31129.434,SWITCH_UPI,0.66,37997.086,SWITCH_UPI,0.66,37997.086,SWITCH_UPI,0.66,37997.086
