state_id,failure_category,current_method,amount_minor,no_action_probability,NO_ACTION_action,NO_ACTION_recovery_probability,NO_ACTION_merchant_value_minor,GOVERNOR_T0_action,GOVERNOR_T0_recovery_probability,GOVERNOR_T0_merchant_value_minor,GOVERNOR_T5_action,GOVERNOR_T5_recovery_probability,GOVERNOR_T5_merchant_value_minor,GOVERNOR_T10_action,GOVERNOR_T10_recovery_probability,GOVERNOR_T10_merchant_value_minor,GOVERNOR_T20_action,GOVERNOR_T20_recovery_probability,GOVERNOR_T20_merchant_value_minor,ECONOMIC_ORACLE_action,ECONOMIC_ORACLE_recovery_probability,ECONOMIC_ORACLE_merchant_value_minor
1,ISSUER_DECLINED,UPI,76491,0.48,NO_ACTION,0.48,12850.488,SWITCH_NETBANKING,0.52,13871.362,NO_ACTION,0.48,12850.488,NO_ACTION,0.48,12850.488,NO_ACTION,0.48,12850.488,SWITCH_DEBIT_CARD,0.52,13871.362
2,TECHNICAL_FAILURE,UPI,145131,0.8,NO_ACTION,0.8,40636.68,NO_ACTION,0.8,40636.68,NO_ACTION,0.8,40636.68,NO_ACTION,0.8,40636.68,NO_ACTION,0.8,40636.68,NO_ACTION,0.8,40636.68
3,USER_CANCELLED,DEBIT_CARD,138217,0.64,NO_ACTION,0.64,30960.608,SWITCH_NETBANKING,0.64,30910.608,NO_ACTION,0.64,30960.608,NO_ACTION,0.64,30960.608,NO_ACTION,0.64,30960.608,NO_ACTION,0.64,30960.608
4,INSUFFICIENT_FUNDS,UPI,149272,0.34,NO_ACTION,0.34,17763.368,SWITCH_NETBANKING,0.4,20848.08,SWITCH_NETBANKING,0.4,20848.08,SWITCH_NETBANKING,0.4,20848.08,SWITCH_NETBANKING,0.4,20848.08,NUDGE,0.42,21742.983999999997
5,AUTHENTICATION_FAILURE,UPI,241708,0.76,NO_ACTION,0.76,64294.327999999994,NO_ACTION,0.76,64294.327999999994,NO_ACTION,0.76,64294.327999999994,NO_ACTION,0.76,64294.327999999994,NO_ACTION,0.76,64294.327999999994,SWITCH_DEBIT_CARD,0.82,69320.19599999998
6,AUTHENTICATION_FAILURE,CREDIT_CARD,94518,0.62,NO_ACTION,0.62,20510.405999999995,NUDGE,0.56,18325.528,NUDGE,0.56,18325.528,NUDGE,0.56,18325.528,NUDGE,0.56,18325.528,NO_ACTION,0.62,20510.405999999995
7,USER_CANCELLED,UPI,147600,0.7,NO_ACTION,0.7,36162.0,NO_ACTION,0.7,36162.0,NO_ACTION,0.7,36162.0,NO_ACTION,0.7,36162.0,NO_ACTION,0.7,36162.0,SWITCH_CREDIT_CARD,0.72,37145.2
8,AUTHENTICATION_FAILURE,UPI,150012,0.72,NO_ACTION,0.72,37803.024,NO_ACTION,0.72,37803.024,NO_ACTION,0.72,37803.024,NO_ACTION,0.72,37803.024,NO_ACTION,0.72,37803.024,NO_ACTION,0.72,37803.024
9,INSUFFICIENT_FUNDS,UPI,48779,0.44,NO_ACTION,0.44,7511.965999999999,SWITCH_NETBANKING,0.56,9510.684,SWITCH_NETBANKING,0.56,9510.684,SWITCH_NETBANKING,0.56,9510.684,SWITCH_NETBANKING,0.56,9510.684,SWITCH_CREDIT_CARD,0.58,9852.136999999999
10,TECHNICAL_FAILURE,CREDIT_CARD,56556,0.7,NO_ACTION,0.7,13856.219999999998,SWITCH_NETBANKING,0.68,13410.328,NO_ACTION,0.7,13856.219999999998,NO_ACTION,0.7,13856.219999999998,NO_ACTION,0.7,13856.219999999998,NO_ACTION,0.7,13856.219999999998
11,USER_CANCELLED,UPI,43899,0.48,NO_ACTION,0.48,7375.031999999999,SWITCH_NETBANKING,0.48,7325.031999999999,NO_ACTION,0.48,7375.031999999999,NO_ACTION,0.48,7375.031999999999,NO_ACTION,0.48,7375.031999999999,SWITCH_CREDIT_CARD,0.5,7632.325
12,TECHNICAL_FAILURE,UPI,55409,0.74,NO_ACTION,0.74,14350.930999999999,SWITCH_NETBANKING,0.7,13525.204999999998,NO_ACTION,0.74,14350.930999999999,NO_ACTION,0.74,14350.930999999999,NO_ACTION,0.74,14350.930999999999,NO_ACTION,0.74,14350.930999999999
13,TECHNICAL_FAILURE,DEBIT_CARD,76376,0.7,NO_ACTION,0.7,18712.12,SWITCH_NETBANKING,0.64,17058.224,SWITCH_NETBANKING,0.64,17058.224,NO_ACTION,0.7,18712.12,NO_ACTION,0.7,18712.12,NO_ACTION,0.7,18712.12
