decision_id,customer_id,order_id,prediction_time,customer_tenure_days,prior_checkout_count,prior_success_count,prior_failure_count,prior_success_rate,prior_upi_count,prior_credit_card_count,prior_debit_card_count,prior_netbanking_count,available_upi,available_credit_card,available_debit_card,available_netbanking,current_amount_minor,amount_ratio,current_method,failure_category,attempt_count,observed_rail_health,contact_consent,customer_active,treatment,action_type,target_method,discount_percent,behavior_policy_probability,recovered,final_attempt_count,final_payment_status
D0000001,C000006,C000006_O0002,2026-04-22T21:41:31.097587+00:00,255,1,1,0,1.0,1,0,0,0,1,1,1,1,274568,0.9093793573985937,CREDIT_CARD,ISSUER_DECLINED,1,0.9940288750629672,1,0,OFFER_5,APPROVED_OFFER,,5.0,0.07799378538631402,1,2,CAPTURED
D0000002,C000013,C000013_O0002,2025-01-09T16:36:30.528961+00:00,699,1,1,0,1.0,1,0,0,0,1,0,1,1,237931,2.1958672499400116,UPI,ISSUER_DECLINED,1,0.9604674328488719,1,1,OFFER_10,APPROVED_OFFER,,10.0,0.17072118746023737,1,3,CAPTURED
D0000003,C000013,C000013_O0013,2026-05-14T13:58:50.807809+00:00,699,12,12,0,1.0,11,0,0,1,1,0,1,1,111762,1.031452461376599,UPI,USER_CANCELLED,1,1.0,1,0,NUDGE,NUDGE,,,0.296058064413971,0,1,FAILED
D0000004,C000037,C000037_O0001,2026-06-15T04:14:21.195038+00:00,95,0,0,0,0.0,0,0,0,0,1,1,1,0,194423,1.397901957118822,UPI,INSUFFICIENT_FUNDS,1,0.837695757559833,1,1,SWITCH_DEBIT_CARD,SWITCH_METHOD,DEBIT_CARD,,0.26290825329502426,0,2,FAILED
D0000005,C000040,C000040_O0001,2026-06-26T00:02:37.835303+00:00,225,0,0,0,0.0,0,0,0,0,1,1,1,1,122681,0.8836651492451308,CREDIT_CARD,AUTHENTICATION_FAILURE,1,0.8382616241434033,1,1,NO_ACTION,NO_ACTION,,,0.6470622390838089,1,3,CAPTURED
D0000006,C000048,C000048_O0003,2026-04-07T04:30:05.549279+00:00,242,2,2,0,1.0,2,0,0,0,1,0,1,0,371912,1.2413742460705548,DEBIT_CARD,AUTHENTICATION_FAILURE,1,0.9238761756476048,1,1,NO_ACTION,NO_ACTION,,,0.7347756393830276,1,2,CAPTURED
D0000007,C000049,C000049_O0005,2026-02-09T01:36:40.899268+00:00,359,4,4,0,1.0,4,0,0,0,1,0,1,1,1208400,1.5938251804330392,UPI,AUTHENTICATION_FAILURE,1,1.0,1,1,NO_ACTION,NO_ACTION,,,0.6462643329165879,1,2,CAPTURED
D0000008,C000054,C000054_O0003,2026-02-10T13:30:33.057015+00:00,596,2,2,0,1.0,1,1,0,0,1,1,1,1,175266,1.3426949507021213,DEBIT_CARD,ISSUER_DECLINED,1,0.984392066578712,1,1,SWITCH_CREDIT_CARD,SWITCH_METHOD,CREDIT_CARD,,0.13434892769230325,0,2,FAILED
D0000009,C000054,C000054_O0005,2026-06-17T10:05:11.899218+00:00,596,4,3,1,0.75,1,2,1,0,1,1,1,1,133253,1.0208376425884642,CREDIT_CARD,ISSUER_DECLINED,1,1.0,1,1,SWITCH_UPI,SWITCH_METHOD,UPI,,0.1397289116920767,1,2,CAPTURED
D0000010,C000061,C000061_O0001,2026-08-28T13:13:07.184231+00:00,95,0,0,0,0.0,0,0,0,0,1,0,1,1,53947,0.9947081166795737,UPI,AUTHENTICATION_FAILURE,1,0.9555817820964924,1,1,NO_ACTION,NO_ACTION,,,0.6948968829328752,1,2,CAPTURED
